Thresh: 0.000700  Dim:   11603
 Root         E(0)         E(2)
    1 -919.63066687 -919.63177732
    2 -919.50937553 -919.51309516
    3 -919.49938225 -919.50300358
    4 -919.48532060 -919.48883303
    5 -919.46879952 -919.47103843
Thresh: 0.000500  Dim:   17907
 Root         E(0)         E(2)
    1 -919.63102458 -919.63183623
    2 -919.51032786 -919.51325686
    3 -919.50032676 -919.50318937
    4 -919.48625708 -919.48904148
    5 -919.46946649 -919.47117357
Thresh: 0.000300  Dim:   34383
 Root         E(0)         E(2)
    1 -919.63140155 -919.63190000
    2 -919.51150337 -919.51347310
    3 -919.50147525 -919.50341831
    4 -919.48740910 -919.48929044
    5 -919.47026317 -919.47133507
