Thresh: 0.000700  Dim:   37165
 Root         E(0)         E(2)
    1 -915.95261955 -915.95533938
    2 -915.84857895 -915.85698044
    3 -915.82198120 -915.83188306
    4 -915.82150171 -915.83162860
    5 -915.81428288 -915.82295727
Thresh: 0.000500  Dim:   58591
 Root         E(0)         E(2)
    1 -915.95333242 -915.95550138
    2 -915.85043126 -915.85735435
    3 -915.82415634 -915.83256009
    4 -915.82383470 -915.83243355
    5 -915.81628912 -915.82326313
Thresh: 0.000300  Dim:  119769
 Root         E(0)         E(2)
    1 -915.95415799 -915.95567463
    2 -915.85277788 -915.85782580
    3 -915.82703944 -915.83336279
    4 -915.82682641 -915.83329796
    5 -915.81874992 -915.82366705
