Thresh: 0.000700  Dim:   31708
 Root         E(0)         E(2)
    1 -915.93536900 -915.93734898
    2 -915.87158606 -915.87843540
    3 -915.83811502 -915.84448670
    4 -915.80966443 -915.81720595
    5 -915.80209325 -915.80742847
Thresh: 0.000500  Dim:   48930
 Root         E(0)         E(2)
    1 -915.93586234 -915.93746898
    2 -915.87322173 -915.87870287
    3 -915.83971305 -915.84479926
    4 -915.81141008 -915.81756978
    5 -915.80353274 -915.80778183
Thresh: 0.000300  Dim:   91609
 Root         E(0)         E(2)
    1 -915.93641017 -915.93760688
    2 -915.87507286 -915.87898153
    3 -915.84149440 -915.84514472
    4 -915.81349240 -915.81796580
    5 -915.80508502 -915.80814181
